fact_id,region_code,grid_id,member_type,member_id,role,required,source_reference
east-poc-place-hotel,JEJU_EAST,POC_V1,PLACE,tourapi.place:2757210,accommodation,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-required,JEJU_EAST,POC_V1,PLACE,tourapi.place:126435,required_visit,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-gwangchigi,JEJU_EAST,POC_V1,PLACE,tourapi.place:2564158,balanced_visit,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-seopjikoji,JEJU_EAST,POC_V1,PLACE,tourapi.place:127813,shared_visit,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-ojo,JEJU_EAST,POC_V1,PLACE,tourapi.place:2742256,relaxed_visit,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-railbike,JEJU_EAST,POC_V1,PLACE,tourapi.place:2705373,experience_visit,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-meal-primary,JEJU_EAST,POC_V1,PLACE,tourapi.place:2833201,meal_primary,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-meal-2,JEJU_EAST,POC_V1,PLACE,tourapi.place:2791481,meal_fallback,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-meal-3,JEJU_EAST,POC_V1,PLACE,tourapi.place:1984236,meal_fallback,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-meal-4,JEJU_EAST,POC_V1,PLACE,tourapi.place:2836808,meal_fallback,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-meal-5,JEJU_EAST,POC_V1,PLACE,tourapi.place:2847894,meal_fallback,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-rest-primary,JEJU_EAST,POC_V1,PLACE,tourapi.place:2847829,rest_primary,true,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-rest-2,JEJU_EAST,POC_V1,PLACE,tourapi.place:2830228,rest_fallback,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-hamdeok,JEJU_EAST,POC_V1,PLACE,tourapi.place:126451,requested_visit,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-place-woljeongri-road,JEJU_EAST,POC_V1,PLACE,tourapi.place:2738701,requested_visit,false,https://www.data.go.kr/data/15101578/openapi.do
east-poc-stop-406000706,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406000706,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406000709,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406000709,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406000816,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406000816,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406000817,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406000817,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001073,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001073,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001074,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001074,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001075,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001075,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001076,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001076,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001077,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001077,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001078,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001078,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001081,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001081,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001082,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001082,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001183,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001183,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001184,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001184,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001228,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001228,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001229,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001229,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001291,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001291,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
east-poc-stop-406001292,JEJU_EAST,POC_V1,STOP,jeju.stop:tago:JEB406001292,route_stop_candidate,true,https://www.data.go.kr/data/15098529/openapi.do
